Fetching supported pairs from Indodax...
Found 485 pairs:
Ticker ID       | Description          | Base Currency | Traded Currency
humanity_idr    | H/IDR                | idr        | humanity  
h2o_idr         | H2O/IDR              | idr        | h2o       
haedal_idr      | HAEDAL/IDR           | idr        | haedal    
hart_idr        | HART/IDR             | idr        | hart      
happy_idr       | HAPPY/IDR            | idr        | happy     
hbar_idr        | HBAR/IDR             | idr        | hbar      
hedg_idr        | HEDG/IDR             | idr        | hedg      
hft_idr         | HFT/IDR              | idr        | hft       
hifi_idr        | HIFI/IDR             | idr        | hifi      
high_idr        | HIGH/IDR             | idr        | high      
hive_idr        | HIVE/IDR             | idr        | hive      
hmstr_idr       | HMSTR/IDR            | idr        | hmstr     
hnst_idr        | HNST/IDR             | idr        | hnst      
hnt_idr         | HNT/IDR              | idr        | hnt       
home_idr        | HOME/IDR             | idr        | home      
honey_idr       | HONEY/IDR            | idr        | honey     
hot_idr         | HOT/IDR              | idr        | hot       
huma_idr        | HUMA/IDR             | idr        | huma      
hype_idr        | HYPE/IDR             | idr        | hype      
hyper_idr       | HYPER/IDR            | idr        | hyper     
myro_idr        | MYRO/IDR             | idr        | myro      
myx_idr         | MYX/IDR              | idr        | myx       
spaceid_idr     | ID/IDR               | idr        | spaceid   
icp_idr         | ICP/IDR              | idr        | icp       
idx_idr         | IDRX/IDR             | idr        | idx       
idt_idr         | IDRT/IDR             | idr        | idt       
ilv_idr         | ILV/IDR              | idr        | ilv       
imx_idr         | IMX/IDR              | idr        | imx       
inj_idr         | INJ/IDR              | idr        | inj       
io_idr          | IO/IDR               | idr        | io        
iost_idr        | IOST/IDR             | idr        | iost      
iota_idr        | IOTA/IDR             | idr        | iota      
iotx_idr        | IOTX/IDR             | idr        | iotx      
iq_idr          | IQ/IDR               | idr        | iq        
islm_idr        | ISLM/IDR             | idr        | islm      
jasmy_idr       | JASMY/IDR            | idr        | jasmy     
jellyjelly_idr  | JELLYJELLY/IDR       | idr        | jellyjelly
joe_idr         | JOE/IDR              | idr        | joe       
